id,left,top,right,bottom,row_index,col_index
"93",100.209206916,3.943660625,100.298676916,3.854046625,"31","1"
"94",100.209206916,3.854046625,100.298676916,3.764432625,"32","1"
"95",100.209206916,3.764432625,100.298676916,3.674818625,"33","1"
"96",100.209206916,3.674818625,100.298676916,3.585204625,"34","1"
"97",100.209206916,3.585204625,100.298676916,3.495590625,"35","1"
"98",100.209206916,3.495590625,100.298676916,3.405976625,"36","1"
"99",100.209206916,3.405976625,100.298676916,3.316362625,"37","1"
"100",100.209206916,3.316362625,100.298676916,3.226748625,"38","1"
"101",100.209206916,3.226748625,100.298676916,3.137134625,"39","1"
"102",100.209206916,3.137134625,100.298676916,3.047520625,"40","1"
"103",100.209206916,3.047520625,100.298676916,2.957906625,"41","1"
"104",100.209206916,2.957906625,100.298676916,2.868292625,"42","1"
"105",100.209206916,2.868292625,100.298676916,2.778678625,"43","1"
"106",100.209206916,2.778678625,100.298676916,2.689064625,"44","1"
"107",100.209206916,2.689064625,100.298676916,2.599450625,"45","1"
"108",100.209206916,2.599450625,100.298676916,2.509836625,"46","1"
"109",100.209206916,2.509836625,100.298676916,2.420222625,"47","1"
"110",100.209206916,2.420222625,100.298676916,2.330608625,"48","1"
"111",100.209206916,2.330608625,100.298676916,2.240994625,"49","1"
"112",100.209206916,2.240994625,100.298676916,2.151380625,"50","1"
"113",100.209206916,2.151380625,100.298676916,2.061766625,"51","1"
"114",100.209206916,2.061766625,100.298676916,1.972152625,"52","1"
"115",100.209206916,1.972152625,100.298676916,1.882538625,"53","1"
"116",100.209206916,1.882538625,100.298676916,1.792924625,"54","1"
"117",100.209206916,1.792924625,100.298676916,1.703310625,"55","1"
"118",100.209206916,1.703310625,100.298676916,1.613696625,"56","1"
"119",100.209206916,1.613696625,100.298676916,1.524082625,"57","1"
"120",100.209206916,1.524082625,100.298676916,1.434468625,"58","1"
"121",100.209206916,1.434468625,100.298676916,1.344854625,"59","1"
"122",100.209206916,1.344854625,100.298676916,1.255240625,"60","1"
"123",100.298676916,6.721694625,100.388146916,6.632080625,"0","2"
"124",100.298676916,6.632080625,100.388146916,6.542466625,"1","2"
"125",100.298676916,6.542466625,100.388146916,6.452852625,"2","2"
"126",100.298676916,6.452852625,100.388146916,6.363238625,"3","2"
"127",100.298676916,6.363238625,100.388146916,6.273624625,"4","2"
"128",100.298676916,6.273624625,100.388146916,6.184010625,"5","2"
"129",100.298676916,6.184010625,100.388146916,6.094396625,"6","2"
"130",100.298676916,6.094396625,100.388146916,6.004782625,"7","2"
"131",100.298676916,6.004782625,100.388146916,5.915168625,"8","2"
"132",100.298676916,5.915168625,100.388146916,5.825554625,"9","2"
"133",100.298676916,5.825554625,100.388146916,5.735940625,"10","2"
"134",100.298676916,5.735940625,100.388146916,5.646326625,"11","2"
"135",100.298676916,5.646326625,100.388146916,5.556712625,"12","2"
"136",100.298676916,5.556712625,100.388146916,5.467098625,"13","2"
"137",100.298676916,5.467098625,100.388146916,5.377484625,"14","2"
"138",100.298676916,5.377484625,100.388146916,5.287870625,"15","2"
"139",100.298676916,5.287870625,100.388146916,5.198256625,"16","2"
"140",100.298676916,5.198256625,100.388146916,5.108642625,"17","2"
"141",100.298676916,5.108642625,100.388146916,5.019028625,"18","2"
"142",100.298676916,5.019028625,100.388146916,4.929414625,"19","2"
"143",100.298676916,4.929414625,100.388146916,4.839800625,"20","2"
"144",100.298676916,4.839800625,100.388146916,4.750186625,"21","2"
"145",100.298676916,4.750186625,100.388146916,4.660572625,"22","2"
"146",100.298676916,4.660572625,100.388146916,4.570958625,"23","2"
"147",100.298676916,4.570958625,100.388146916,4.481344625,"24","2"
"148",100.298676916,4.481344625,100.388146916,4.391730625,"25","2"
"149",100.298676916,4.391730625,100.388146916,4.302116625,"26","2"
"150",100.298676916,4.302116625,100.388146916,4.212502625,"27","2"
"151",100.298676916,4.212502625,100.388146916,4.122888625,"28","2"
"152",100.298676916,4.122888625,100.388146916,4.033274625,"29","2"
"153",100.298676916,4.033274625,100.388146916,3.943660625,"30","2"
"154",100.298676916,3.943660625,100.388146916,3.854046625,"31","2"
"155",100.298676916,3.854046625,100.388146916,3.764432625,"32","2"
"156",100.298676916,3.764432625,100.388146916,3.674818625,"33","2"
"157",100.298676916,3.674818625,100.388146916,3.585204625,"34","2"
"158",100.298676916,3.585204625,100.388146916,3.495590625,"35","2"
"159",100.298676916,3.495590625,100.388146916,3.405976625,"36","2"
"160",100.298676916,3.405976625,100.388146916,3.316362625,"37","2"
"161",100.298676916,3.316362625,100.388146916,3.226748625,"38","2"
"162",100.298676916,3.226748625,100.388146916,3.137134625,"39","2"
"163",100.298676916,3.137134625,100.388146916,3.047520625,"40","2"
"164",100.298676916,3.047520625,100.388146916,2.957906625,"41","2"
"165",100.298676916,2.957906625,100.388146916,2.868292625,"42","2"
"166",100.298676916,2.868292625,100.388146916,2.778678625,"43","2"
"167",100.298676916,2.778678625,100.388146916,2.689064625,"44","2"
"168",100.298676916,2.689064625,100.388146916,2.599450625,"45","2"
"169",100.298676916,2.599450625,100.388146916,2.509836625,"46","2"
"170",100.298676916,2.509836625,100.388146916,2.420222625,"47","2"
"171",100.298676916,2.420222625,100.388146916,2.330608625,"48","2"
"172",100.298676916,2.330608625,100.388146916,2.240994625,"49","2"
"173",100.298676916,2.240994625,100.388146916,2.151380625,"50","2"
"174",100.298676916,2.151380625,100.388146916,2.061766625,"51","2"
"175",100.298676916,2.061766625,100.388146916,1.972152625,"52","2"
"176",100.298676916,1.972152625,100.388146916,1.882538625,"53","2"
"177",100.298676916,1.882538625,100.388146916,1.792924625,"54","2"
"178",100.298676916,1.792924625,100.388146916,1.703310625,"55","2"
"179",100.298676916,1.703310625,100.388146916,1.613696625,"56","2"
"180",100.298676916,1.613696625,100.388146916,1.524082625,"57","2"
"181",100.298676916,1.524082625,100.388146916,1.434468625,"58","2"
"182",100.298676916,1.434468625,100.388146916,1.344854625,"59","2"
"183",100.298676916,1.344854625,100.388146916,1.255240625,"60","2"
"184",100.388146916,6.721694625,100.477616916,6.632080625,"0","3"
"185",100.388146916,6.632080625,100.477616916,6.542466625,"1","3"
"186",100.388146916,6.542466625,100.477616916,6.452852625,"2","3"
"187",100.388146916,6.452852625,100.477616916,6.363238625,"3","3"
"188",100.388146916,6.363238625,100.477616916,6.273624625,"4","3"
"189",100.388146916,6.273624625,100.477616916,6.184010625,"5","3"
"190",100.388146916,6.184010625,100.477616916,6.094396625,"6","3"
