"","X","latitude","longitude"
"7641287",7641287,0.64443844,101.69318992
"8672769",8672769,2.7991428,101.76054618
"59169",59169,1.79096963,102.889169
"3914725",3914725,3.02083707,101.59161744
"9603395",9603395,3.20482426,101.70116685
"8897926",8897926,1.55795135,103.82176053
"3675760",3675760,0.66741293,101.60152072
"672316",672316,2.55137878,102.09869888
"6346287",6346287,3.32489313,101.52903541
"1557904",1557904,3.34408595,101.25403637
"6507272",6507272,2.23245913,102.20114568
"1439771",1439771,2.34623015,102.0689751
"509627",509627,0.62908117,100.82428048
"3688091",3688091,4.13276401,101.09577311
"4477187",4477187,1.75851731,104.08385821
"3813727",3813727,4.66778032,101.08871654
"5512845",5512845,2.23573653,102.24257387
"6899633",6899633,3.06255385,101.61939327
"8379704",8379704,4.41403423,101.69306566
"5932835",5932835,2.2239059,102.30684258
"3556592",3556592,3.31436055,103.42197473
"4151955",4151955,1.74935096,103.05424814
"283990",283990,1.67474428,103.64314337
"2510492",2510492,4.89350945,100.74183007
"4567719",4567719,4.69662692,101.10819039
"2123630",2123630,4.19215017,100.70413842
"3761149",3761149,3.20947852,102.13743753
"8616515",8616515,0.37242414,101.09136824
"6495564",6495564,2.30981801,102.48846189
"2569155",2569155,1.65726566,103.50651947
"7001666",7001666,3.81787,103.33910293
"2861803",2861803,0.97697157,104.05142081
"5421862",5421862,4.82273675,101.06096344
"2681241",2681241,4.78691666,103.4011433
"7882761",7882761,3.56108576,103.38001069
"1675727",1675727,3.0628873,101.60675309
"2538510",2538510,3.2198257,101.63533826
"452208",452208,2.05665846,103.33544494
"2688259",2688259,2.7189019,101.96594725
"3009267",3009267,2.21327429,102.32460006
"7174200",7174200,3.09021208,101.60754207
"5380330",5380330,4.42199225,100.97604238
"2843481",2843481,1.49530221,103.72799583
"3732144",3732144,0.62154148,101.12375509
"5551957",5551957,2.16755568,102.58379863
"4180187",4180187,2.98542103,101.85978745
"8927876",8927876,4.57560346,101.04090971
"1442255",1442255,1.34901164,103.97381546
"4895385",4895385,4.50873733,100.91937092
"8396310",8396310,0.52216156,100.74785474
"8689612",8689612,2.98573991,101.76739365
"1660627",1660627,2.76986301,101.48296971
"729672",729672,2.27518866,102.29949222
"7643853",7643853,0.85947917,102.97016191
"8651436",8651436,1.6557832,103.59444137
"6321173",6321173,3.11199378,101.67077179
"2503625",2503625,4.65288451,101.16979707
"2276181",2276181,1.00950772,103.42694522
"2781399",2781399,1.10347704,104.08581942
"8720798",8720798,0.9041594,104.5400507
"7257323",7257323,4.37731513,103.40771229
"3842559",3842559,1.97234699,103.11379282
"6386791",6386791,3.81029259,101.84652409
"2257008",2257008,4.5766304,103.32498063
"3719259",3719259,3.37539497,101.23778723
"1233640",1233640,1.2902444,101.19166855
"1478566",1478566,0.92563398,104.44792711
"3386327",3386327,0.90164459,104.48779557
"4887610",4887610,4.57870776,101.0496837
"3285603",3285603,0.70732631,102.99400817
"4206463",4206463,1.39192084,103.90797409
"458767",458767,3.19988845,101.56956801
"6785671",6785671,2.90193735,101.64355837
"3269006",3269006,3.06180167,103.09194419
"4991751",4991751,1.26899425,101.17433092
"2993281",2993281,0.50549414,101.46744522
"6589422",6589422,2.71051804,102.68700065
"8910571",8910571,0.32044347,100.94882814
"372151",372151,4.60357276,101.05561131
"6476537",6476537,2.04018489,103.05472134
"7773079",7773079,4.4957212,101.15188175
"3927575",3927575,1.71416612,103.96344356
"668620",668620,2.00244591,103.05720578
"928486",928486,3.13182284,101.77125323
"3093536",3093536,3.00285672,101.41076092
"6031352",6031352,4.20127493,100.72603006
"8350976",8350976,1.26337634,103.70305782
"7990406",7990406,4.6251393,101.1564181
"3298247",3298247,3.03196736,101.39848579
"268596",268596,2.60073461,102.90238785
"7908236",7908236,3.0696518,101.52664108
"9084009",9084009,3.02295463,101.77812308
"9143465",9143465,3.78054778,102.48373572
"6683254",6683254,4.74408307,101.11830855
"7438233",7438233,1.55293188,103.62364965
"6102493",6102493,3.31842341,101.51564517
"532424",532424,2.88722606,101.73685541
"6415712",6415712,2.90929712,105.70051048
"9605318",9605318,1.51249955,103.64203025
"8967716",8967716,2.78148881,101.61161654
"3001321",3001321,3.85061693,103.29083102
"8407635",8407635,1.05360956,103.97146877
"452280",452280,4.27802073,100.73495809
"7281332",7281332,3.82641335,103.33234618
"8356198",8356198,0.27773523,101.34003724
"1108330",1108330,3.02950282,101.77238162
"3689858",3689858,3.79045036,101.84949958
"3288105",3288105,0.50286517,101.33638037
"9485833",9485833,3.10664702,101.5748376
"556806",556806,4.82905551,100.69420089
"5037195",5037195,0.87325683,104.60438518
"2869957",2869957,3.21928319,101.69080975
"624820",624820,0.58944665,100.65989717
"658628",658628,3.73309773,101.4447442
"743472",743472,1.55226696,104.22580977
"1006907",1006907,0.30390074,100.94220079
"5828805",5828805,4.26644829,100.90444011
"3022931",3022931,1.10298515,103.98652305
"1778744",1778744,1.32648066,103.70408823
"2875553",2875553,4.8645368,100.73824652
"49446",49446,2.55373117,102.23975854
"5145102",5145102,1.10700147,104.35790286
"2097907",2097907,2.2190959,103.53825575
"7246864",7246864,1.66549572,103.63826259
"2036068",2036068,3.14161412,101.45644911
"7399516",7399516,4.5341846,101.13040215
"4164817",4164817,4.61160714,101.10313404
"6964585",6964585,0.45727176,101.36051746
"3057649",3057649,3.20888371,101.47499165
"2440142",2440142,0.34273488,101.28761378
"432203",432203,0.43863685,101.38652115
"3550843",3550843,3.00849575,101.53730038
"5710920",5710920,1.41911496,103.61435098
"1916701",1916701,0.81516631,104.59288912
"8170767",8170767,2.76265098,103.49510448
"3692907",3692907,3.02661285,101.36937169
"7915795",7915795,1.59829922,103.79035055
"8512400",8512400,3.11520304,101.72806409
"6131426",6131426,3.01414552,101.67356765
"8470912",8470912,4.69747659,103.20442844
"6596545",6596545,1.61443505,103.71078805
"4908354",4908354,2.20851666,102.23511701
"4284089",4284089,1.62033959,100.99389805
"2464557",2464557,0.47561693,101.43085302
"7212912",7212912,2.04183301,102.5578713
"7337488",7337488,2.26559243,102.21082469
"2063034",2063034,3.91637192,101.98633435
"3916605",3916605,2.67306253,102.00067566
"2674656",2674656,1.65816608,103.57250178
"9639224",9639224,2.43325532,103.97765151
"3831642",3831642,3.500224,101.91008973
"1840753",1840753,3.90191773,103.36375243
"7230746",7230746,2.95238426,101.77746924
"830126",830126,0.42753119,101.42157454
"1522953",1522953,1.99526225,103.25302453
"8574052",8574052,4.5515538,101.11226109
"7065541",7065541,2.19417202,102.25477651
"3957590",3957590,2.73120579,102.25070041
"7977530",7977530,0.49243269,101.54940142
"915064",915064,0.66556395,101.10808667
"4679919",4679919,0.7113487,100.68317975
"6447864",6447864,2.75761504,101.96736687
"1502527",1502527,0.49030205,101.33554687
"6312447",6312447,0.11193141,100.84044728
"5671373",5671373,2.99865022,101.78757523
"442958",442958,1.7350266,103.89591978
"5687476",5687476,1.57148774,103.77572122
"1862522",1862522,1.63008352,101.58314384
"6923224",6923224,1.37255838,103.76500738
"158569",158569,0.48349831,101.44753717
"6383785",6383785,3.18462169,101.42543293
"2289506",2289506,1.35981416,103.88884905
"9648767",9648767,3.48853379,102.34992718
"5752246",5752246,3.14017696,101.45681583
"3325202",3325202,1.29381937,101.16426682
"8596164",8596164,1.36843877,103.96680649
"962997",962997,3.21069933,101.58435108
"5184532",5184532,3.29937893,106.27294487
"3159069",3159069,0.90834843,104.46969304
"3011918",3011918,1.07437798,103.95575761
"385563",385563,3.09709361,101.74292962
"101514",101514,1.49838593,103.92184792
"9033909",9033909,1.47589416,103.69067256
"6186587",6186587,1.49771809,103.72436692
"222557",222557,3.03061493,101.53914166
"2163975",2163975,2.92749707,101.47117522
"2984733",2984733,3.95785367,103.36659117
"4591757",4591757,3.94752673,101.33285515
"1950940",1950940,3.07544339,101.67629445
"2552838",2552838,1.35931361,102.15457615
"8726594",8726594,2.82163917,101.53039685
"4329164",4329164,2.1323033,102.45270265
"1877826",1877826,4.72272706,101.13013679
"2094149",2094149,2.34072391,102.79270554
"6891757",6891757,0.39658568,101.85994009
"3413959",3413959,2.32192731,102.46580496
"8688523",8688523,0.45204287,101.46419805
"927723",927723,2.37104738,102.53300688
"7331185",7331185,3.01512487,101.62682939
"1530766",1530766,0.41920215,101.4877506
"515197",515197,2.74069314,101.85643484
"7403579",7403579,0.34906966,101.86544497
"8524179",8524179,2.92841027,101.65987984
"1421677",1421677,4.66873041,101.50188212
"5305798",5305798,4.54240129,101.06745808
"1054940",1054940,1.55651255,103.72871198
"8410877",8410877,4.40237264,103.25813022
"115670",115670,0.50621002,101.45494716
"4024771",4024771,4.18830829,100.69373368
"9666378",9666378,0.89043384,104.50675478
"2565757",2565757,1.30810857,103.90360086
"3187071",3187071,3.11272878,101.74704646
"3906248",3906248,2.09999696,102.6115088
"409422",409422,4.76864814,103.41149068
"5010378",5010378,3.14513468,101.37043901
"4770200",4770200,2.94553089,101.77809306
"2853218",2853218,3.59471534,101.0590851
"1254547",1254547,2.26495319,102.31056589
"9011110",9011110,0.38289694,101.83013649
"8025854",8025854,4.3565017,100.87337548
"2291623",2291623,1.37070901,104.24198567
"2497713",2497713,2.81155049,103.44852267
"211778",211778,1.0507479,104.37904397
"8229307",8229307,1.52315249,103.70330049
"225758",225758,2.92857784,101.50837561
"4241174",4241174,1.3509298,103.88778012
"632647",632647,1.92225649,102.73757572
"5595215",5595215,3.09766855,101.36744802
"2978633",2978633,4.81686768,101.09221701
"8214957",8214957,1.14869714,104.03461282
"9221095",9221095,1.50370271,103.54455372
"8906812",8906812,2.86354314,101.79523782
"5661499",5661499,3.86127758,102.49294439
"7759154",7759154,1.58484438,103.73451959
"7660277",7660277,2.26757041,102.54307638
"312387",312387,1.83802221,102.92848267
"9125900",9125900,1.35735188,103.90126499
"7834960",7834960,2.88814283,101.80824458
"2218914",2218914,2.82805252,101.67649712
"7722316",7722316,2.70209567,101.92669092
"2361070",2361070,1.36604215,103.85759397
"2601863",2601863,1.87358539,102.93977742
"8198677",8198677,3.03267127,101.60073381
"6238678",6238678,2.02185002,103.05767634
"4501496",4501496,2.68958887,101.99173996
"4301367",4301367,3.13479493,101.62064224
"5054625",5054625,2.95852616,101.78537479
"3596960",3596960,1.00659195,104.25563154
"6866116",6866116,3.03052214,101.47413025
"3764653",3764653,3.20882669,101.63278262
"8761524",8761524,1.1103027,103.96533153
"2696967",2696967,3.60826174,102.95118171
"3156373",3156373,1.06494089,104.23407872
"7826129",7826129,2.97346828,101.4472397
"1917081",1917081,4.58178025,100.67953107
"6565604",6565604,4.46247887,101.15729704
"8913801",8913801,2.97182379,101.87219305
"3303592",3303592,1.56308217,103.76109613
"5373715",5373715,0.50036003,101.3288249
"754665",754665,3.84925019,101.47065554
"2780936",2780936,1.53777674,103.6603387
"2464927",2464927,1.0799931,104.23299852
"312583",312583,3.16453319,101.50471258
"8697755",8697755,1.52001177,103.75037967
"3338418",3338418,4.81832106,100.71880168
"2089487",2089487,3.22545185,101.74330546
"4843920",4843920,0.80134509,102.04892578
"9586802",9586802,2.95152069,101.58570378
"9595669",9595669,1.52170182,103.63077324
"7125658",7125658,3.95601097,103.24123902
"2101777",2101777,3.63261851,101.0439759
"9182767",9182767,3.19821281,101.74672452
"2866076",2866076,3.62553358,101.42588903
"5076460",5076460,2.2286246,102.30754397
"9246672",9246672,1.11592647,104.09291393
"2867239",2867239,0.4020698,101.86344361
"5248560",5248560,0.5218934,101.49618084
"8441284",8441284,3.09526936,101.35850419
"4202745",4202745,1.47668641,103.96740223
"8135814",8135814,4.61970982,100.88840001
"3686068",3686068,2.81277685,102.39051383
"3548094",3548094,1.36302738,103.9559496
"7464599",7464599,1.57419226,104.0933286
"4492108",4492108,2.80317665,101.78244306
"6793081",6793081,2.95207771,101.77012296
"2635030",2635030,0.43821903,101.45532517
"9253299",9253299,1.30268857,101.16869741
"8186154",8186154,2.20573683,102.28076276
"8300399",8300399,1.59831159,103.81685135
"1658003",1658003,2.70094921,101.85629626
"1407613",1407613,3.51590417,101.15264358
"6862217",6862217,1.68077994,103.51521989
"6875054",6875054,3.4313396,101.65707586
"253471",253471,3.38428142,101.26933267
"6135132",6135132,1.16193548,104.03116249
"6849130",6849130,0.49327453,101.14722654
"4000011",4000011,2.81664793,101.44871942
"4220632",4220632,1.49578526,103.77894922
"3217931",3217931,0.9222189,100.99465182
"5785371",5785371,0.72107993,104.21218725
"4799710",4799710,2.99905892,101.7414981
"3757391",3757391,1.84594499,102.8723513
"7218334",7218334,1.1350439,104.09391755
"7161139",7161139,1.56827455,103.74541453
"8517383",8517383,3.32489232,101.47635007
"8191261",8191261,3.84311512,101.89117239
"2063493",2063493,1.49517212,103.71167358
"988635",988635,4.61565484,101.48022389
"7287190",7287190,1.4508653,103.78644937
"6808893",6808893,4.49346082,101.10241127
"5426727",5426727,4.48806554,101.04163195
"307324",307324,1.5300971,103.65615474
"7742344",7742344,3.49120619,103.41101313
"1790105",1790105,3.10560592,101.37890554
"3618211",3618211,0.03007003,101.29892666
"7152829",7152829,3.49970688,101.91929388
"2411236",2411236,3.11973097,101.77233208
"9108634",9108634,0.30559556,100.76441619
"6645415",6645415,4.79304838,100.83022078
"2733533",2733533,2.93087107,102.3917216
"5183007",5183007,0.9998204,104.48487557
"5473606",5473606,2.19331124,102.26359803
"5836204",5836204,2.73763755,101.76479224
"7490784",7490784,1.10124205,104.05405543
"2716136",2716136,2.3147351,102.43598245
"7929989",7929989,1.77505401,103.61306475
"5250194",5250194,2.18121237,102.33245091
"9347714",9347714,2.17482575,102.31008818
"896824",896824,1.57050804,103.8052704
"8066925",8066925,0.88043942,103.76813931
"9077388",9077388,1.43745242,103.58250377
"8644981",8644981,4.46013916,101.04023346
"9310064",9310064,2.97621483,101.81230327
"6335168",6335168,3.0800688,101.44143946
"701705",701705,3.63470339,101.57027911
"3145554",3145554,0.24269115,101.29537863
"7670371",7670371,3.07589569,101.64788797
"6259949",6259949,1.98913495,103.13587404
"6829386",6829386,1.49000081,103.39436867
"5958697",5958697,3.07911087,101.76262084
"4422758",4422758,0.7307101,101.10996839
"4127641",4127641,0.91880419,104.58246929
"6068538",6068538,1.50752677,103.82150594
"948666",948666,1.14888507,104.03587675
"25825",25825,4.57158951,101.11692523
"162811",162811,4.57408103,101.06080221
"7052661",7052661,2.91788059,101.63298278
"8477868",8477868,1.50241282,103.38469164
"2519052",2519052,4.76980071,100.88392514
"3619051",3619051,0.42972197,101.45549973
"5806029",5806029,2.9724657,101.6385158
"3039874",3039874,2.12815322,102.51301642
"5342772",5342772,0.83240717,101.21442847
"639385",639385,4.45762761,101.18756478
"7065803",7065803,2.52593255,102.80650917
"9120773",9120773,2.13304155,102.53890769
"4575147",4575147,2.99762229,101.79376218
"2718969",2718969,0.39221378,101.43159036
"4202105",4202105,1.29978476,103.82482314
"1659121",1659121,1.06940461,103.94033202
"8223129",8223129,1.34325659,103.87722574
"1373789",1373789,0.88967501,101.24267782
"650237",650237,1.07870282,104.11649834
"1109737",1109737,2.05232478,103.98314555
"107396",107396,1.73411309,103.4420737
"9112858",9112858,4.2532645,100.72361801
"3424818",3424818,3.11515804,101.59360353
"2180995",2180995,2.96497339,101.80633576
"6900219",6900219,3.13755946,101.32859268
"61761",61761,2.15126034,103.03804228
"4779456",4779456,0.99342802,103.42781995
"2294676",2294676,2.8296815,101.61656814
"6032065",6032065,3.11025746,101.72116697
"6268296",6268296,4.45068574,100.6365789
"7449598",7449598,0.80970016,103.03089888
"2843820",2843820,2.73512265,101.92310272
"965358",965358,0.14388646,102.10192008
"7663689",7663689,2.70870892,101.95512666
"2087121",2087121,1.53843331,103.61951913
"1153462",1153462,1.48005824,103.76329341
"732995",732995,2.23180959,100.94814205
"8929988",8929988,2.57692127,102.11450116
"1859672",1859672,3.75600132,102.54832947
"2060046",2060046,2.2229901,102.191971
"1347667",1347667,3.19802908,101.85642056
"5433135",5433135,1.83422267,103.08886355
"1804080",1804080,2.60473024,103.76908527
"8869246",8869246,0.49740877,101.50650986
"7014986",7014986,3.00305667,101.75264155
"5574766",5574766,3.25765176,101.70118128
"8520120",8520120,2.93930823,101.66357856
"2855950",2855950,3.45315088,102.45608263
"7243488",7243488,4.21416282,100.66635964
"121653",121653,1.37191709,104.23781574
"9140910",9140910,1.05644188,103.97221987
"8262756",8262756,1.73180551,103.13215434
"4213843",4213843,3.1679918,101.74422963
"7073080",7073080,2.2236348,102.3062825
"9391253",9391253,3.73564417,103.31692941
"6917793",6917793,0.1152767,102.07873167
"1315036",1315036,3.73629036,101.38279777
"3919646",3919646,1.32266381,103.80951219
"8489915",8489915,3.09100742,101.55524938
"9214555",9214555,0.10121587,100.68756049
"4317260",4317260,4.00716174,101.04877717
"585404",585404,3.19682374,101.52383057
"2862148",2862148,1.10141676,104.06939735
"4237734",4237734,4.34415203,103.4699246
"1942897",1942897,3.88351762,100.9356633
"4256376",4256376,3.74338028,101.37910159
"3647012",3647012,1.07127294,103.91896852
"1820152",1820152,2.74441846,101.93816289
"3880182",3880182,3.6369935,101.03695099
"9452023",9452023,1.26447805,101.26648912
"511819",511819,3.15520183,101.75147595
"2783801",2783801,4.22602637,101.80650406
"7098890",7098890,2.9583441,101.52158993
"386257",386257,3.48293055,102.32612696
"2962521",2962521,1.66390157,103.85603222
"173552",173552,4.05600048,103.39192103
"179686",179686,4.19355438,101.27555615
"7099054",7099054,3.4911139,101.91277063
"2390244",2390244,3.03003589,101.41594583
"779850",779850,2.79829295,101.73960714
"3919065",3919065,4.24278565,103.41772857
"1444044",1444044,3.16919087,101.69660607
"6274737",6274737,0.87258377,104.2027269
"7677613",7677613,1.47741824,103.62678234
"6303092",6303092,0.46021579,101.01457845
"9436264",9436264,2.72940099,102.5838659
"3228717",3228717,3.18782893,101.61506646
"1891048",1891048,0.91615128,104.47919108
"6155175",6155175,3.22682867,101.42432474
"4101822",4101822,1.86844668,103.11085443
"541559",541559,0.43761737,101.47146873
"5444123",5444123,0.31722734,100.94117539
"4228968",4228968,1.72268133,101.46300916
"6038676",6038676,1.26679198,103.812462
"3672114",3672114,1.12161214,102.88156936
"8300956",8300956,1.69089848,101.38650402
"8023544",8023544,1.12512322,104.05528865
"6514703",6514703,3.84236316,103.36814214
"212369",212369,3.27808011,101.28257508
"2769271",2769271,4.57422159,101.11374603
"7359091",7359091,0.5391686,101.4054715
"7350379",7350379,2.83684223,101.78533026
"8217336",8217336,1.85363874,103.61515409
"7251721",7251721,3.30776961,101.58387727
"201404",201404,1.578187,101.38161741
"9069790",9069790,1.02848636,104.05943921
"3104813",3104813,3.817365,103.29702624
"7971018",7971018,0.4753962,101.43746881
"528266",528266,1.51450289,102.16359296
"3407173",3407173,1.88384231,103.16862891
"1027487",1027487,1.0737372,104.11772216
"1334461",1334461,2.69765185,101.94989834
"8018216",8018216,0.56762465,101.41348745
"912049",912049,0.29497681,101.03155165
"6556696",6556696,0.68494029,100.70130819
"3030173",3030173,1.30489931,103.73075433
"1023706",1023706,3.37167771,102.95700877
"6351955",6351955,4.12040473,100.96087067
"2177834",2177834,0.44300068,101.46567076
"6642545",6642545,0.4194358,101.40226655
"6721654",6721654,3.10046181,101.46204716
"6290465",6290465,3.20039662,101.75727638
"9568477",9568477,3.02636666,101.38631077
"524635",524635,2.05905702,103.31353439
"1873039",1873039,0.51459428,101.77654233
"5965591",5965591,1.03323221,103.99734183
"6657268",6657268,4.70954089,103.40434773
"244453",244453,0.63996283,100.86476034
"1699340",1699340,2.23767988,102.27826802
"8124149",8124149,0.56592113,101.48687649
"6324839",6324839,2.65011991,102.00130877
"8122235",8122235,4.21762879,103.4359242
"407141",407141,4.20512548,103.09051546
"4544101",4544101,2.067872,102.54254409
"5749357",5749357,1.67381271,101.45173654
