"BuildingID",latitude,longitude
4851144,7.82811798,99.62145362
3851901,9.11583191,99.33868652
473647,8.01893441,98.99368455
4807300,5.60806969,100.54622509
1606304,8.49415903,98.5136625
4587547,6.16407925,100.40410716
3142386,5.63465918,100.48928086
4552320,6.27000809,100.25974346
5161611,9.13076162,99.21926987
1960559,7.78105915,98.318226
5435021,5.34726818,100.45943878
5958275,9.95309514,99.07716875
4417077,7.47133788,100.06346257
1193166,5.34484645,100.46616162
4561348,5.38517656,100.5803001
4785254,9.20765099,99.8154076
1895073,8.42454916,99.96524863
618268,8.45210614,98.8139374
6005597,7.54843835,100.42003631
4955429,5.27995404,100.28024659
958689,8.62852039,99.93165112
5508463,7.81969935,98.34242982
1611826,8.31741733,99.37268564
6039940,7.87521248,100.00244241
3388832,8.02613962,98.33102725
4082291,5.45667846,100.50926929
2274316,5.30299587,100.27169978
6046445,8.29325686,100.17559155
2416349,7.20896185,99.72206097
4260164,7.93170629,98.40128508
182158,6.72075185,100.35843904
1602625,5.23401633,100.49795616
3155346,5.79135697,100.48084828
1012240,8.00416164,100.12865036
2440964,7.67365564,99.9794294
2578256,8.05633783,99.91805618
2071258,7.87173231,99.21221675
4583929,5.01353263,100.43241708
2912042,6.44495993,100.18915576
3164322,8.22900459,100.11241449
1406751,8.40371756,98.28135064
3215937,7.49976124,100.00397279
4130364,7.3918326,100.39155352
1194844,5.5096104,100.57001393
4207698,5.39510219,100.46717307
1133319,9.52335475,100.05494951
2439614,6.95389338,100.47326446
2889119,7.53915447,99.6539963
6035754,8.1669853,99.68819061
815375,7.10674853,99.9820114
5609087,9.19587146,99.26692063
1035854,9.47260322,100.05203593
5713320,7.31241165,99.83756501
1367774,10.46940509,98.9041536
5653769,7.99383644,98.97100859
3124904,5.85962099,100.47599281
4075529,8.98435663,99.42353188
2587614,6.45475213,100.40012098
2719253,7.5715855,99.61689205
2549043,6.89986853,99.75763776
2249794,9.18534056,99.11156098
3911311,6.11804268,100.50732266
4344377,5.02122579,100.49320966
4802392,5.6644417,100.52598363
5955748,5.38550829,100.58337885
5332278,7.19078639,100.5719522
5932941,7.51925176,99.72627725
2882865,5.49608155,100.54907346
2002323,8.59735515,99.92181099
5920828,9.06690393,99.68285207
1515513,9.58242136,99.98268273
1091895,5.15617274,100.459254
3467923,6.08866551,100.39415814
4354030,5.63902862,100.55714803
3996569,8.56085702,99.2372986
4058325,8.11499423,99.49030077
5794025,6.85257086,100.46776581
944937,7.90231565,99.63708985
2851654,8.11578338,98.30738504
2238312,6.59870039,100.48754403
2190420,7.12814647,100.57297228
3627101,9.16556316,99.41379206
4310176,8.49220985,98.63228107
705161,5.61622174,100.46026142
2650001,8.36971464,99.80455711
5482864,7.52901991,99.53539486
5772884,10.43929575,99.24692483
5133360,7.44012418,99.98759436
2560678,6.07806377,100.40139216
3323022,5.59648407,100.41412309
1698602,5.15799784,100.507048
4188370,5.41520157,100.19889671
3428643,8.17423875,98.31219098
980248,7.86621503,99.66601109
3018380,7.04814222,100.47650611
2042233,5.33807472,100.51502425
4651772,5.63353438,100.56161949
3660990,8.30522631,99.3657784
4005809,6.54434709,100.3151662
1809975,7.61812072,99.03075336
647303,7.77442605,99.49467084
5401910,6.37092029,99.67310596
2443221,6.15056455,100.54807178
5420721,6.08873817,100.57313733
1838615,8.30969845,98.97059123
3737130,6.27551499,100.41902458
3739826,5.67699824,100.49866928
467651,6.05954578,100.33472883
5201580,5.6386866,100.5322965
1449475,8.50679903,98.49823935
3424703,7.6301884,99.03470637
