"","latitude","longitude"
"3079773",10.04058482,105.51369673
"2550266",10.02679333,105.74859458
"1682822",5.77164184,100.7087014
"7389570",6.02540596,100.74768841
"6855043",6.24178085,101.37811353
"3436552",6.87212744,101.35294241
"1400566",9.68572807,106.41883664
"5429784",10.08820481,106.39739167
"8159592",6.13525301,102.23587173
"93686",9.59819663,105.97907391
"942742",9.69367227,105.40121508
"5783254",10.22908312,105.45224251
"4655892",10.03963692,105.73777505
"6047811",9.90462898,105.87162159
"2677460",6.05246098,102.3155351
"5106291",6.61925465,100.95232226
"6616832",10.0165773,106.3428413
"2221378",9.8951194,106.15835424
"2168878",9.17727644,105.65480977
"3727880",10.00049915,105.65815544
"530162",9.78139817,105.47789757
"514644",9.95881783,105.75755578
"4536522",10.1510489,106.03982751
"838521",6.5909726,101.20125147
"3099051",9.79428981,105.55454343
"2323302",9.73123096,106.47651254
"7281129",5.97724487,102.36499427
"7649",10.17639793,106.44192865
"4520734",9.84504604,105.21858072
"4496414",10.00093932,105.20934756
"4041936",10.05432605,104.02067939
"1810269",10.13857823,106.50481348
"4129572",10.06793199,105.56379833
"378506",9.31783845,105.71880599
"4559003",5.86899601,102.18390214
"3705601",9.58536617,106.35184502
"4756064",10.11179236,105.98349995
"1368596",10.18542186,106.43681706
"1796864",10.04585716,106.20551444
"2838192",5.81962834,102.14764276
"1544732",9.93826395,105.34083137
"3587481",9.94447794,105.13956157
"545620",10.16252057,105.88789061
"6168565",9.93913562,106.38899453
"1149690",5.85804803,102.22704841
"2682647",5.61979041,100.84614983
"2984262",10.1113564,105.81222172
"2061291",10.02862468,106.22894167
"354306",10.19021833,106.4296883
"8074425",6.12177299,101.89804083
"1059802",5.55046614,100.90079971
"7653108",5.34260231,103.11213854
"6131612",9.3411281,105.71600634
"229956",6.16384227,101.69113685
"7749668",10.19017199,106.47157604
"2386503",10.21595259,106.00715055
"3423257",10.10748951,105.79741056
"911068",6.62814151,100.63642285
"10032",9.90575172,106.31879217
"7569718",10.1680471,105.49480641
