,id,left,top,right,bottom,row_index,col_index,API_18,Temp_18,Humidity_18,Precip_18,Wind_18,Vegetation_18,Traffic_18,Building,Altitude,Population_18
45,150,100.431506061362,5.341694625,100.570070125968,5.221694625,11,3,36.2111426116508,28.4640052424788,78.1521311129335,3.25046136387141,15.655493096377,12229.8600921597,39057.3149590105,945,36.2542372881356,1280.78564920534
46,151,100.431506061362,5.221694625,100.570070125968,5.101694625,12,3,36.5402946545467,28.3525115770174,78.3293925154499,3.17665693672994,14.4400122825655,25686.2589907167,34622.2799538532,716,25.1521739130435,851.474844333135
47,152,100.431506061362,5.101694625,100.570070125968,4.981694625,13,3,36.8183847655433,28.2434984959595,78.6069509156883,3.13340657552855,13.3219007189709,44827.6522163619,29893.2563166176,281,4.92613636363636,369.480876990226
48,153,100.431506061362,4.981694625,100.570070125968,4.861694625,14,3,36.9333048893517,28.1784759102518,78.8520928232981,3.12026193703291,12.685580870962,51665.0170968563,28592.0590192861,3,9.25210084033614,51.9761240948507
49,154,100.431506061362,4.861694625,100.570070125968,4.741694625,15,3,,,,,,,,0,14.0,10.54544651625
50,186,100.535429109817,6.601694625,100.673993174422,6.481694625,1,4,,,,,,,,0,,20.318203925
51,187,100.535429109817,6.481694625,100.673993174422,6.361694625,2,4,33.212709430063,28.0942293040912,84.219268895118,5.35732735760318,15.057369896301,69447.7601242197,31929.6256405355,3,269.35119047619,15.4722895024457
52,188,100.535429109817,6.361694625,100.673993174422,6.241694625,3,4,33.3403743489648,28.1242678265421,84.0044936546736,5.17792092642518,15.9534143093252,69934.5019980708,30653.5980789794,136,63.5056818181818,117.428362348068
53,189,100.535429109817,6.241694625,100.673993174422,6.121694625,4,4,33.4544745735814,28.1548176253577,83.6869014743681,5.05007974380361,16.3037839704233,60445.8113345294,28139.1542872429,129,42.2215909090909,140.980434174294
54,190,100.535429109817,6.121694625,100.673993174422,6.001694625,5,4,33.5558653542903,28.226078009217,83.2759398891512,4.89284771844673,16.5413745262228,47455.1903905323,25740.1753193793,117,49.9945945945946,99.1478805967027
55,191,100.535429109817,6.001694625,100.673993174422,5.881694625,6,4,34.1671779509744,28.251675433691,81.5549045588091,4.47822020157763,16.8282635552467,79713.9503054634,19364.9892471761,92,131.011363636364,81.0902828951364
56,192,100.535429109817,5.881694625,100.673993174422,5.761694625,7,4,34.5022310852854,28.2940417440177,80.6489213596066,4.24841802273586,16.8743506239204,82571.7354124541,16420.5955462992,117,62.0702702702703,112.888038299476
57,193,100.535429109817,5.761694625,100.673993174422,5.641694625,8,4,34.8290537151902,28.3890240596769,79.6674851075615,3.98256970922267,16.8966359155287,67840.52988532,16629.310265482,124,52.4431818181818,191.127333567102
58,194,100.535429109817,5.641694625,100.673993174422,5.521694625,9,4,35.4359626109977,28.4140721720113,78.7643351340138,3.67472789172662,16.8912489662466,88562.454934226,18263.2641711369,261,23.2329545454545,255.08610236774
59,195,100.535429109817,5.521694625,100.673993174422,5.401694625,10,4,35.6656200852977,28.4370563476432,78.4566793883849,3.52556919409867,16.7481381315954,88898.2568079641,21721.7509608675,297,41.0810810810811,502.321327442433
60,196,100.535429109817,5.401694625,100.673993174422,5.281694625,11,4,36.1425692074523,28.4326522457121,78.2042134991566,3.31936128843012,15.9685923437161,53823.2055161679,28849.6485278191,290,187.579545454545,434.543270000852
61,197,100.535429109817,5.281694625,100.673993174422,5.161694625,12,4,36.7286621549421,28.307775835102,78.2708906755816,3.19727667321794,14.732946105203,75562.0280208381,24053.3001140456,122,79.7837837837838,134.024985566432
62,198,100.535429109817,5.161694625,100.673993174422,5.041694625,13,4,37.0274862962736,28.2564622483486,78.3579724374141,3.11940551109443,13.9528816891757,77406.3846948172,21698.6251102479,108,14.4488636363636,124.921412166307
63,199,100.535429109817,5.041694625,100.673993174422,4.921694625,14,4,37.2080556898688,28.1993852446629,78.6288450621381,3.05466062705222,12.9209512977482,64647.0396454801,22944.5678489129,246,8.63068181818182,230.338452115311
64,200,100.535429109817,4.921694625,100.673993174422,4.801694625,15,4,37.4842518550985,28.1217696885273,78.9183327763463,2.97761357955969,12.1283243530998,73366.4898145717,21716.8058012254,47,11.7257142857143,62.9891506030055
65,201,100.535429109817,4.801694625,100.673993174422,4.681694625,16,4,37.5181889030624,28.084771141566,79.0977040976372,2.92791740319553,11.928771836987,77479.6667192082,24455.7337568989,1,12.3584905660377,9.0912374278629
66,202,100.535429109817,4.681694625,100.673993174422,4.561694625,17,4,,,,,,,,0,12.2830188679245,13.2668603289508
67,203,100.535429109817,4.561694625,100.673993174422,4.441694625,18,4,36.5459968436519,28.096877661591,80.0029636602395,3.02330443209048,11.5048560026207,65638.2643993758,36765.4824016643,11,8.53846153846154,140.837260111429
68,204,100.535429109817,4.441694625,100.673993174422,4.321694625,19,4,36.080449369892,28.1302296647568,80.2828074959177,3.07780231131462,11.3351895772342,71088.1381354753,36993.6927995701,25,32.7714285714286,101.914944858841
69,205,100.535429109817,4.321694625,100.673993174422,4.201694625,20,4,,,,,,,,62,34.1714285714286,313.396260171043
70,206,100.535429109817,4.201694625,100.673993174422,4.081694625,21,4,,,,,,,,17,24.0,438.1766920075
71,208,100.535429109817,3.961694625,100.673993174422,3.841694625,23,4,,,,,,,,0,,
72,232,100.639352158271,6.541694625,100.777916222876,6.421694625,1,5,33.4691920113594,28.0035596474734,83.9523726376505,5.31314198564163,15.3445365760762,100793.420450263,29481.7937984035,3,252.863636363636,8.91980596319149
73,233,100.639352158271,6.421694625,100.777916222876,6.301694625,2,5,33.4707763801174,28.030108580457,83.889479869158,5.24469264074827,15.6996445230072,103180.059264653,29363.9027454054,43,128.233695652174,27.7358027498532
