Unnamed: 0,id,left,top,right,bottom,row_index,col_index,API,Temp,Humidity,Precip,Wind,Vegetation,Traffic,Building,Altitude,Population,Year
829,1404,103.237428369624,3.961694625,103.375992434229,3.841694625,23,30,0.25420635501324285,0.7303165641205225,0.7674717729483664,0.5439210678375963,0.31586631144822597,0.33942361820813394,0.21752143144747502,0.16295884315906564,0.03261851597426447,0.06027576543466951,2019
873,1464,103.341351418078,2.221694625,103.479915482684,2.101694625,37,31,0.25428558217157304,0.6564801926599962,0.9943978795855478,0.6360931547762232,0.3987730172548154,0.31903407093388503,0.2788354063658758,0.010567296996662959,0.042725680756968636,0.005094072462246303,2019
492,934,102.198197885083,5.161694625,102.336761949688,5.041694625,13,20,0.25430756528440673,0.7359236035043875,0.6212026348092351,0.6027256220776728,0.37686558711286827,0.7170687556168284,0.14851008835023047,0.0027808676307007787,0.10707519223324923,0.0018942708220875736,2019
766,1311,103.029582272716,4.081694625,103.168146337321,3.961694625,22,28,0.2543137316792259,0.7433876896037739,0.9613221238701282,0.6404853693186409,0.6070615442869605,0.42106931308503354,0.13097048941618525,0.005005561735261402,0.04116240031247111,0.0027063592487035076,2017
183,437,101.055044352087,4.021694625,101.193608416693,3.901694625,22,9,0.2544182046682873,0.8867214830322139,0.17620753486287033,0.44595365885176474,0.8299307085758861,0.14978797772682237,0.18142214567604806,0.012235817575083427,0.0062671834900374585,0.007545694661797691,2018
340,715,101.678582642812,3.781694625,101.817146707418,3.661694625,24,15,0.25452596070262057,0.7556170132576154,0.3008579642788062,0.750493793257442,0.7690146230959225,0.23942687174061747,0.1035165755907468,0.005005561735261402,0.5738911004970709,0.0017969071417374733,2018
323,698,101.678582642812,5.821694625,101.817146707418,5.701694625,7,15,0.25454773297579497,0.8297386897732272,0.38627477705881347,0.4291075489204558,0.9072359275078294,0.33584089520319016,0.17342212458151454,0.018909899888765295,0.1991717152951964,0.0062058433891028116,2018
312,669,101.574659594358,3.841694625,101.713223658963,3.721694625,24,14,0.25463303297169465,0.7688011544168628,0.2832665585872263,0.5268106560334089,0.40027222811358876,0.2306994684324619,0.1498847857817898,0.0,0.7520214351473296,0.0004530180566832589,2019
123,330,100.847198255179,5.821694625,100.985762319784,5.701694625,7,7,0.2548413675394564,0.8201076520624153,0.24007334285874943,0.3446944926936457,0.4872434054812683,0.25554393475737786,0.029772076384504815,0.07230255839822025,0.1869696814788114,0.010487509198958595,2019
762,1307,103.029582272716,4.561694625,103.168146337321,4.441694625,18,28,0.25487556659274774,0.6154407258573196,0.9413868341344773,0.6261390902173671,0.6295349640391574,0.5032998377626147,0.12136401072656591,0.0,0.16233701428794317,0.00015562971282833231,2017
530,982,102.302120933537,4.861694625,102.440684998142,4.741694625,15,21,0.25492526691915923,0.6250678570412515,0.8178794403662224,0.6853178867712084,0.6329619638427783,0.9174000019220688,0.03882526760637452,0.0005561735261401557,0.20484086251024902,0.0008173988808692968,2017
468,898,102.094274836629,3.901694625,102.232838901234,3.781694625,23,19,0.25499057345652465,0.5545638560247352,0.6589624687259373,0.9634026445062714,0.183871065778848,0.6388157574534267,0.021547609175338326,0.00389321468298109,0.4773196757965435,0.0018726048682793114,2017
