"id","left","top","right","bottom","row_index","col_index","API_18","API_19","Temp_18","Temp_19","Humidity_18","Humidity_19","Precip_18","Precip_19","Wind_18","Wind_19","Vegetation_18","Vegetation_19","Traffic_18","Traffic_19","Building","Altitude","Population_18","Population_19","API_17","Temp_17","Humidity_17","Precip_17","Wind_17","Vegetation_17","Traffic_17","Population_17"
1411,103.237428369624,3.121694625,103.375992434229,3.001694625,30,30,33.9120701214386,56.6113826435326,27.3712916231301,27.8768457645066,85.8335896477769,84.3926080451367,5.58072261380102,6.97531010919676,15.1618958708915,13.8091576310633,262462.198147919,254022.33860818,11164.127799836,10743.8599039799,0,30.7663043478261,3.33961079375,3.48873263013044,25.901662396189,27.8277334981727,85.5599555381144,4.14022522485913,14.7812859500896,271246.785090196,12833.9646583516,3.57840262677359
1412,103.237428369624,3.001694625,103.375992434229,2.881694625,31,30,33.8254103417082,56.6396530408988,27.3035438509112,27.8760539951817,86.0915046841702,84.4720855000286,5.60616675236004,7.06900966770282,15.418909751667,14.2058283802145,271142.163053691,262608.958490596,9647.8221635211,9685.46755831514,7,26.0227272727273,10.6111963486023,11.4707960608239,25.6528458637375,27.8150322922584,85.6480069607281,4.26316488385411,14.9962142314468,279850.459284871,12371.2280048437,11.3919066576795
1413,103.237428369624,2.881694625,103.375992434229,2.761694625,32,30,33.6506584655436,56.5088767679848,27.1949272197533,27.8499477265186,86.4167468622545,84.7980529049605,5.48406712370527,7.04149288434698,15.9930458320844,14.91984782946,283908.989131954,275504.547194237,9632.94108851691,8988.25079594372,5,23.9565217391304,15.1857396959946,17.1322671018641,25.4136688382484,27.7837223704813,85.8794867476744,4.41743013141449,15.5350524746062,292065.195089995,14226.1775543348,16.3696510325307
1414,103.237428369624,2.761694625,103.375992434229,2.641694625,33,30,33.6820294695857,56.3126387457847,27.2224943309944,27.8459723037813,86.433978787698,85.0419753906492,5.56192806245939,7.28187522680673,15.4586869275782,14.8750267808791,272143.557002258,264575.949058073,12120.5550321787,10473.6824921406,2,148.232954545455,9.120930089125,8.73626356990342,25.5152891627477,27.762278610707,85.618293441676,4.6859642500483,15.0476946162062,279540.514101085,16463.8082434352,9.09044868905436
1415,103.237428369624,2.641694625,103.375992434229,2.521694625,34,30,33.6731670138496,56.1170716837645,27.2299297541696,27.812462192338,86.4410639011572,85.3321727161495,5.5008185542798,7.3129331605726,15.263072928634,15.0235492604871,263054.723091558,256039.27455848,14618.1677909428,12154.1545114632,0,201.977272727273,2.05446952175,2.00587636178977,25.6053798105835,27.7513154659422,85.5626270970767,4.83452081627394,14.8732315135962,269949.129512135,18060.0925171819,2.048959645358
1416,103.237428369624,2.521694625,103.375992434229,2.401694625,35,30,33.6202084922475,55.6565393018154,27.2006549110339,27.7266987241021,86.5407273690751,86.0366005870268,5.22088477319716,7.14476256280224,15.0330625976035,15.1903465560299,246071.889437325,239791.761441746,20125.9280660236,15816.9003615661,0,389.967391304348,1.10196736342391,1.06429388697283,25.7512397036742,27.7132161830788,85.7624032580005,5.01665421734964,14.6614299822209,252175.477129203,21385.1650755024,1.06286069070515
1417,103.237428369624,2.401694625,103.375992434229,2.281694625,36,30,33.6159446425724,55.3861926882534,27.2128488176811,27.6189419782937,86.6212085717745,86.5107613708714,5.17407650469712,7.26024660648238,14.3504350572283,15.584501301101,222409.1370423,216441.287352091,24314.2175469146,18878.6371458874,0,118.653409090909,4.6762099675625,4.7191154553125,25.8672212011188,27.7025770061143,85.7382966018978,5.27569001872675,13.9698918078625,227953.25904586,23434.8970114684,4.76338137991049
1418,103.237428369624,2.281694625,103.375992434229,2.161694625,37,30,33.6030722914775,55.1212923940276,27.1930298995737,27.5381076334826,86.7153117914374,86.9649884573539,5.026891159406,7.19761585977597,13.9645955251388,15.7399923125988,209382.943151762,203420.649755436,27804.7252908916,21270.6975591417,23,62,20.4385604030326,19.7580038517391,25.9417911114138,27.6850054396402,85.8779037311206,5.41254269236007,13.5704498255046,214684.978428187,25943.1238061834,20.8631572671559
1419,103.237428369624,2.161694625,103.375992434229,2.041694625,38,30,33.6733854618708,54.690126824137,27.2122663352956,27.4755710541097,86.3344426365308,87.270996827966,4.76331521218138,6.95585355583134,13.6395397953811,15.9656140437977,185952.298485094,180275.001683902,35676.4308347178,26236.3029048992,196,39.7613636363636,236.307800964699,233.296960963977,26.2178400420461,27.6826255905355,85.7539088104714,5.48904467490789,13.1818546936742,190704.277451401,33003.6653535977,247.082688087767
1420,103.237428369624,2.041694625,103.375992434229,1.921694625,39,30,33.8597334236525,54.8270721762878,27.4523249335305,27.4724725991627,84.8413918965817,86.1829741979748,4.92890232887965,7.0873674660632,13.6696091255197,18.8216349078375,149794.825906084,145305.92552019,38569.4836691702,28425.9763245192,402,60.4204545454545,705.788315539432,704.627675153295,26.6545181061305,27.8202728300596,84.3816050923764,5.40666720639966,12.914030122849,153668.681693139,36636.4145620763,736.157457839359
1421,103.237428369624,1.921694625,103.375992434229,1.801694625,40,30,34.0283813260155,54.8545048245567,27.56151680279,27.5023262185607,83.9635742610964,85.6384727622328,4.94341979322953,7.0310850641472,13.737222851093,19.7798151980136,125497.639502817,121909.02297311,38816.4598100357,28684.4327083855,110,35.7717391304348,226.08097320738,226.067062795946,26.9820330598682,27.8797659458705,83.671581517187,5.31863521687059,12.8618715494205,128907.091761271,37216.5050275363,234.612858904445
1422,103.237428369624,1.801694625,103.375992434229,1.681694625,41,30,34.3788428126671,54.8410846159855,27.6711465514359,27.6042489095216,82.8419281952164,85.0642120219503,4.8770022346626,6.79093297302081,13.7568676165393,19.5479130529547,90014.4467213831,87647.8187916144,36371.2190809237,27150.6828793935,74,14.6875,101.425793841534,101.394166182614,27.5295364825735,27.9293323129413,82.8806410648988,5.1758211250508,12.8541294424577,92573.0911085641,35164.2296039646,105.389862927524
1423,103.237428369624,1.681694625,103.375992434229,1.561694625,42,30,34.6055165020688,55.0796799387988,27.7799203854167,27.6766818769984,81.9752601306941,84.3795216438094,4.95338485445719,6.73184650266101,13.8598048961201,20.5165827417311,76858.9994038167,75089.4697512394,18696.3002512091,17835.5954122307,158,10.2165605095541,125.200812633736,123.426184459828,27.8596309239746,27.9722183127078,82.1409416741356,4.97058096357635,12.8558988219456,78631.2068578296,18459.0075958787,131.246929420822
1424,103.237428369624,1.561694625,103.375992434229,1.441694625,43,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,157.539700312,142.570721426,NA,NA,NA,NA,NA,NA,NA,155.309866333008
1441,103.341351418078,4.981694625,103.479915482684,4.861694625,14,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16.9583333333333,173.074047343913,169.585642025652,NA,NA,NA,NA,NA,NA,NA,178.792554274849
