"id","left","top","right","bottom","row_index","col_index","Traffic_17"
47,100.119736916,2.599450625,100.209206916,2.509836625,46,0,21927.1212876798
48,100.119736916,2.509836625,100.209206916,2.420222625,47,0,22109.769509526
49,100.119736916,2.420222625,100.209206916,2.330608625,48,0,22234.1401681668
50,100.119736916,2.330608625,100.209206916,2.240994625,49,0,22250.4558734171
51,100.119736916,2.240994625,100.209206916,2.151380625,50,0,22250.4558734171
52,100.119736916,2.151380625,100.209206916,2.061766625,51,0,22250.4558734171
53,100.119736916,2.061766625,100.209206916,1.972152625,52,0,22250.4558734171
54,100.119736916,1.972152625,100.209206916,1.882538625,53,0,22250.4558734171
55,100.119736916,1.882538625,100.209206916,1.792924625,54,0,22250.4558734171
56,100.119736916,1.792924625,100.209206916,1.703310625,55,0,22250.4558734171
57,100.119736916,1.703310625,100.209206916,1.613696625,56,0,22250.4558734171
58,100.119736916,1.613696625,100.209206916,1.524082625,57,0,22250.4558734171
59,100.119736916,1.524082625,100.209206916,1.434468625,58,0,22250.4558734171
60,100.119736916,1.434468625,100.209206916,1.344854625,59,0,22250.4558734171
61,100.119736916,1.344854625,100.209206916,1.255240625,60,0,22250.4558734171
62,100.209206916,6.721694625,100.298676916,6.632080625,0,1,19890.8030539968
63,100.209206916,6.632080625,100.298676916,6.542466625,1,1,17869.6153411145
64,100.209206916,6.542466625,100.298676916,6.452852625,2,1,15954.0613874157
65,100.209206916,6.452852625,100.298676916,6.363238625,3,1,17397.9554096568
66,100.209206916,6.363238625,100.298676916,6.273624625,4,1,20038.4252010958
67,100.209206916,6.273624625,100.298676916,6.184010625,5,1,20899.7325417412
68,100.209206916,6.184010625,100.298676916,6.094396625,6,1,21092.2086163346
69,100.209206916,6.094396625,100.298676916,6.004782625,7,1,21817.3415364017
70,100.209206916,6.004782625,100.298676916,5.915168625,8,1,22784.1164215352
71,100.209206916,5.915168625,100.298676916,5.825554625,9,1,23265.8989623342
72,100.209206916,5.825554625,100.298676916,5.735940625,10,1,23321.4171155308
73,100.209206916,5.735940625,100.298676916,5.646326625,11,1,23202.0198528431
74,100.209206916,5.646326625,100.298676916,5.556712625,12,1,23085.2806453604
75,100.209206916,5.556712625,100.298676916,5.467098625,13,1,22784.7318141586
76,100.209206916,5.467098625,100.298676916,5.377484625,14,1,39145.9916754268
77,100.209206916,5.377484625,100.298676916,5.287870625,15,1,54040.7476993243
78,100.209206916,5.287870625,100.298676916,5.198256625,16,1,53900.4914814954
79,100.209206916,5.198256625,100.298676916,5.108642625,17,1,49249.2742259827
80,100.209206916,5.108642625,100.298676916,5.019028625,18,1,44454.4631967779
81,100.209206916,5.019028625,100.298676916,4.929414625,19,1,40464.9001624574
82,100.209206916,4.929414625,100.298676916,4.839800625,20,1,37618.1065252622
83,100.209206916,4.839800625,100.298676916,4.750186625,21,1,35193.0789460877
84,100.209206916,4.750186625,100.298676916,4.660572625,22,1,32954.7508307224
85,100.209206916,4.660572625,100.298676916,4.570958625,23,1,31178.7396629364
86,100.209206916,4.570958625,100.298676916,4.481344625,24,1,29587.1575131064
87,100.209206916,4.481344625,100.298676916,4.391730625,25,1,28044.7806711349
