"id","left","top","right","bottom","row_index","col_index","API_19"
218,100.388146916,3.674818625,100.477616916,3.585204625,34,3,55.4293292185466
219,100.388146916,3.585204625,100.477616916,3.495590625,35,3,55.4911145948203
220,100.388146916,3.495590625,100.477616916,3.405976625,36,3,55.5818772670607
221,100.388146916,3.405976625,100.477616916,3.316362625,37,3,55.6934176763887
222,100.388146916,3.316362625,100.477616916,3.226748625,38,3,55.8149823718418
223,100.388146916,3.226748625,100.477616916,3.137134625,39,3,55.927968027025
224,100.388146916,3.137134625,100.477616916,3.047520625,40,3,56.0139581586191
225,100.388146916,3.047520625,100.477616916,2.957906625,41,3,56.0636159313054
226,100.388146916,2.957906625,100.477616916,2.868292625,42,3,56.0703126580927
227,100.388146916,2.868292625,100.477616916,2.778678625,43,3,56.0311431245795
228,100.388146916,2.778678625,100.477616916,2.689064625,44,3,55.9454141448325
229,100.388146916,2.689064625,100.477616916,2.599450625,45,3,55.8259023503906
230,100.388146916,2.599450625,100.477616916,2.509836625,46,3,55.6963528495451
231,100.388146916,2.509836625,100.477616916,2.420222625,47,3,55.5678054687226
232,100.388146916,2.420222625,100.477616916,2.330608625,48,3,55.4501757711362
233,100.388146916,2.330608625,100.477616916,2.240994625,49,3,55.3527799778127
234,100.388146916,2.240994625,100.477616916,2.151380625,50,3,55.2814110349273
235,100.388146916,2.151380625,100.477616916,2.061766625,51,3,55.2356555106913
236,100.388146916,2.061766625,100.477616916,1.972152625,52,3,55.2108671405314
237,100.388146916,1.972152625,100.477616916,1.882538625,53,3,55.1985585213402
238,100.388146916,1.882538625,100.477616916,1.792924625,54,3,55.1932038555259
239,100.388146916,1.792924625,100.477616916,1.703310625,55,3,55.1927095082452
240,100.388146916,1.703310625,100.477616916,1.613696625,56,3,55.1927095082452
241,100.388146916,1.613696625,100.477616916,1.524082625,57,3,55.1927095082452
242,100.388146916,1.524082625,100.477616916,1.434468625,58,3,55.1927095082452
243,100.388146916,1.434468625,100.477616916,1.344854625,59,3,55.1927095082452
244,100.388146916,1.344854625,100.477616916,1.255240625,60,3,55.1927095082452
245,100.477616916,6.721694625,100.567086916,6.632080625,0,4,52.3890236919443
246,100.477616916,6.632080625,100.567086916,6.542466625,1,4,52.1464402467517
247,100.477616916,6.542466625,100.567086916,6.452852625,2,4,51.9694115198528
248,100.477616916,6.452852625,100.567086916,6.363238625,3,4,51.8780201564061
249,100.477616916,6.363238625,100.567086916,6.273624625,4,4,51.874961104249
250,100.477616916,6.273624625,100.567086916,6.184010625,5,4,51.9508538475246
251,100.477616916,6.184010625,100.567086916,6.094396625,6,4,52.1357395293713
252,100.477616916,6.094396625,100.567086916,6.004782625,7,4,52.4559496527974
253,100.477616916,6.004782625,100.567086916,5.915168625,8,4,52.8442883207523
254,100.477616916,5.915168625,100.567086916,5.825554625,9,4,53.2612538505961
255,100.477616916,5.825554625,100.567086916,5.735940625,10,4,53.6925101033397
256,100.477616916,5.735940625,100.567086916,5.646326625,11,4,54.1238188490545
257,100.477616916,5.646326625,100.567086916,5.556712625,12,4,54.4762418333038
258,100.477616916,5.556712625,100.567086916,5.467098625,13,4,54.7865550473344
259,100.477616916,5.467098625,100.567086916,5.377484625,14,4,55.0640557996389
260,100.477616916,5.377484625,100.567086916,5.287870625,15,4,55.3312002614976
261,100.477616916,5.287870625,100.567086916,5.198256625,16,4,55.5833767286449
262,100.477616916,5.198256625,100.567086916,5.108642625,17,4,55.7924326617584
263,100.477616916,5.108642625,100.567086916,5.019028625,18,4,55.9584519582686
264,100.477616916,5.019028625,100.567086916,4.929414625,19,4,56.0853718944058
265,100.477616916,4.929414625,100.567086916,4.839800625,20,4,56.1971950798619
266,100.477616916,4.839800625,100.567086916,4.750186625,21,4,56.3019882960144
267,100.477616916,4.750186625,100.567086916,4.660572625,22,4,56.3741877474663
268,100.477616916,4.660572625,100.567086916,4.570958625,23,4,56.3869825308906
269,100.477616916,4.570958625,100.567086916,4.481344625,24,4,56.3542175281155
270,100.477616916,4.481344625,100.567086916,4.391730625,25,4,56.2807040267842
271,100.477616916,4.391730625,100.567086916,4.302116625,26,4,56.1697567056235
272,100.477616916,4.302116625,100.567086916,4.212502625,27,4,56.0222319405879
273,100.477616916,4.212502625,100.567086916,4.122888625,28,4,55.843726473451
274,100.477616916,4.122888625,100.567086916,4.033274625,29,4,55.6735697548386
275,100.477616916,4.033274625,100.567086916,3.943660625,30,4,55.5374644701802
276,100.477616916,3.943660625,100.567086916,3.854046625,31,4,55.4480270056653
277,100.477616916,3.854046625,100.567086916,3.764432625,32,4,55.4115258371691
278,100.477616916,3.764432625,100.567086916,3.674818625,33,4,55.4305299611985
279,100.477616916,3.674818625,100.567086916,3.585204625,34,4,55.5016815749263
280,100.477616916,3.585204625,100.567086916,3.495590625,35,4,55.614543179555
281,100.477616916,3.495590625,100.567086916,3.405976625,36,4,55.7591490768587
282,100.477616916,3.405976625,100.567086916,3.316362625,37,4,55.9243976142674
283,100.477616916,3.316362625,100.567086916,3.226748625,38,4,56.1008738386407
284,100.477616916,3.226748625,100.567086916,3.137134625,39,4,56.2647988325141
285,100.477616916,3.137134625,100.567086916,3.047520625,40,4,56.3925395298619
