id,left,top,right,bottom,row_index,col_index,NUMPOINTS
762,101.782505691266110,3.721694625000000,101.921069755871628,3.601694624999999,25,16,54
763,101.782505691266110,3.601694624999999,101.921069755871628,3.481694625000000,26,16,65
764,101.782505691266110,3.481694625000000,101.921069755871628,3.361694625000000,27,16,4
765,101.782505691266110,3.361694625000000,101.921069755871628,3.241694625000000,28,16,37
766,101.782505691266110,3.241694625000000,101.921069755871628,3.121694625000000,29,16,148
767,101.782505691266110,3.121694625000000,101.921069755871628,3.001694625000000,30,16,343
768,101.782505691266110,3.001694625000000,101.921069755871628,2.881694625000000,31,16,727
769,101.782505691266110,2.881694625000000,101.921069755871628,2.761694625000000,32,16,463
770,101.782505691266110,2.761694625000000,101.921069755871628,2.641694625000000,33,16,450
771,101.782505691266110,2.641694625000000,101.921069755871628,2.521694624999999,34,16,209
772,101.782505691266110,2.521694624999999,101.921069755871628,2.401694624999999,35,16,185
773,101.782505691266110,2.401694624999999,101.921069755871628,2.281694625000000,36,16,0
788,101.886428739720245,6.061694625000000,102.024992804325763,5.941694625000000,5,17,37
789,101.886428739720245,5.941694625000000,102.024992804325763,5.821694625000000,6,17,84
790,101.886428739720245,5.821694625000000,102.024992804325763,5.701694625000000,7,17,61
791,101.886428739720245,5.701694625000000,102.024992804325763,5.581694625000000,8,17,1
792,101.886428739720245,5.581694625000000,102.024992804325763,5.461694625000000,9,17,4
793,101.886428739720245,5.461694625000000,102.024992804325763,5.341694625000000,10,17,25
794,101.886428739720245,5.341694625000000,102.024992804325763,5.221694625000000,11,17,5
795,101.886428739720245,5.221694625000000,102.024992804325763,5.101694625000000,12,17,11
796,101.886428739720245,5.101694625000000,102.024992804325763,4.981694625000000,13,17,6
797,101.886428739720245,4.981694625000000,102.024992804325763,4.861694625000000,14,17,47
798,101.886428739720245,4.861694625000000,102.024992804325763,4.741694625000000,15,17,105
799,101.886428739720245,4.741694625000000,102.024992804325763,4.621694625000000,16,17,23
800,101.886428739720245,4.621694625000000,102.024992804325763,4.501694625000000,17,17,3
801,101.886428739720245,4.501694625000000,102.024992804325763,4.381694625000000,18,17,11
802,101.886428739720245,4.381694625000000,102.024992804325763,4.261694625000000,19,17,13
803,101.886428739720245,4.261694625000000,102.024992804325763,4.141694625000001,20,17,42
804,101.886428739720245,4.141694625000001,102.024992804325763,4.021694625000001,21,17,22
805,101.886428739720245,4.021694625000001,102.024992804325763,3.901694625000000,22,17,46
806,101.886428739720245,3.901694625000000,102.024992804325763,3.781694625000000,23,17,88
807,101.886428739720245,3.781694625000000,102.024992804325763,3.661694625000000,24,17,33
808,101.886428739720245,3.661694625000000,102.024992804325763,3.541694625000000,25,17,26
809,101.886428739720245,3.541694625000000,102.024992804325763,3.421694625000000,26,17,100
810,101.886428739720245,3.421694625000000,102.024992804325763,3.301694625000000,27,17,1
811,101.886428739720245,3.301694625000000,102.024992804325763,3.181694625000000,28,17,0
812,101.886428739720245,3.181694625000000,102.024992804325763,3.061694625000000,29,17,13
813,101.886428739720245,3.061694625000000,102.024992804325763,2.941694625000000,30,17,10
814,101.886428739720245,2.941694625000000,102.024992804325763,2.821694625000000,31,17,136
815,101.886428739720245,2.821694625000000,102.024992804325763,2.701694625000000,32,17,719
816,101.886428739720245,2.701694625000000,102.024992804325763,2.581694625000000,33,17,636
817,101.886428739720245,2.581694625000000,102.024992804325763,2.461694625000000,34,17,42
818,101.886428739720245,2.461694625000000,102.024992804325763,2.341694625000000,35,17,60
819,101.886428739720245,2.341694625000000,102.024992804325763,2.221694625000000,36,17,0
832,101.990351788174380,6.361694625000000,102.128915852779897,6.241694625000000,3,18,2
833,101.990351788174380,6.241694625000000,102.128915852779897,6.121694625000000,4,18,192
834,101.990351788174380,6.121694625000000,102.128915852779897,6.001694625000000,5,18,250
835,101.990351788174380,6.001694625000000,102.128915852779897,5.881694625000000,6,18,106
836,101.990351788174380,5.881694625000000,102.128915852779897,5.761694625000000,7,18,166
837,101.990351788174380,5.761694625000000,102.128915852779897,5.641694625000000,8,18,68
838,101.990351788174380,5.641694625000000,102.128915852779897,5.521694625000000,9,18,2
839,101.990351788174380,5.521694625000000,102.128915852779897,5.401694625000000,10,18,0
840,101.990351788174380,5.401694625000000,102.128915852779897,5.281694625000000,11,18,18
841,101.990351788174380,5.281694625000000,102.128915852779897,5.161694625000000,12,18,9
842,101.990351788174380,5.161694625000000,102.128915852779897,5.041694625000000,13,18,21
843,101.990351788174380,5.041694625000000,102.128915852779897,4.921694625000000,14,18,21
844,101.990351788174380,4.921694625000000,102.128915852779897,4.801694625000000,15,18,6
845,101.990351788174380,4.801694625000000,102.128915852779897,4.681694625000000,16,18,8
846,101.990351788174380,4.681694625000000,102.128915852779897,4.561694625000000,17,18,3
847,101.990351788174380,4.561694625000000,102.128915852779897,4.441694625000000,18,18,0
848,101.990351788174380,4.441694625000000,102.128915852779897,4.321694624999999,19,18,15
849,101.990351788174380,4.321694624999999,102.128915852779897,4.201694625000000,20,18,6
850,101.990351788174380,4.201694625000000,102.128915852779897,4.081694625000000,21,18,51
851,101.990351788174380,4.081694625000000,102.128915852779897,3.961694625000000,22,18,13
852,101.990351788174380,3.961694625000000,102.128915852779897,3.841694625000000,23,18,3
853,101.990351788174380,3.841694625000000,102.128915852779897,3.721694625000000,24,18,6
854,101.990351788174380,3.721694625000000,102.128915852779897,3.601694624999999,25,18,3
855,101.990351788174380,3.601694624999999,102.128915852779897,3.481694625000000,26,18,33
856,101.990351788174380,3.481694625000000,102.128915852779897,3.361694625000000,27,18,53
857,101.990351788174380,3.361694625000000,102.128915852779897,3.241694625000000,28,18,10
858,101.990351788174380,3.241694625000000,102.128915852779897,3.121694625000000,29,18,0
859,101.990351788174380,3.121694625000000,102.128915852779897,3.001694625000000,30,18,17
860,101.990351788174380,3.001694625000000,102.128915852779897,2.881694625000000,31,18,103
861,101.990351788174380,2.881694625000000,102.128915852779897,2.761694625000000,32,18,3
862,101.990351788174380,2.761694625000000,102.128915852779897,2.641694625000000,33,18,123
863,101.990351788174380,2.641694625000000,102.128915852779897,2.521694624999999,34,18,184
864,101.990351788174380,2.521694624999999,102.128915852779897,2.401694624999999,35,18,91
865,101.990351788174380,2.401694624999999,102.128915852779897,2.281694625000000,36,18,301
866,101.990351788174380,2.281694625000000,102.128915852779897,2.161694625000000,37,18,0
878,102.094274836628514,6.301694625000000,102.232838901234032,6.181694625000000,3,19,193
879,102.094274836628514,6.181694625000000,102.232838901234032,6.061694625000000,4,19,850
880,102.094274836628514,6.061694625000000,102.232838901234032,5.941694625000000,5,19,566
881,102.094274836628514,5.941694625000000,102.232838901234032,5.821694625000000,6,19,291
882,102.094274836628514,5.821694625000000,102.232838901234032,5.701694625000000,7,19,441
883,102.094274836628514,5.701694625000000,102.232838901234032,5.581694625000000,8,19,79
884,102.094274836628514,5.581694625000000,102.232838901234032,5.461694625000000,9,19,106
885,102.094274836628514,5.461694625000000,102.232838901234032,5.341694625000000,10,19,6
886,102.094274836628514,5.341694625000000,102.232838901234032,5.221694625000000,11,19,5
887,102.094274836628514,5.221694625000000,102.232838901234032,5.101694625000000,12,19,2
888,102.094274836628514,5.101694625000000,102.232838901234032,4.981694625000000,13,19,4
889,102.094274836628514,4.981694625000000,102.232838901234032,4.861694625000000,14,19,30
890,102.094274836628514,4.861694625000000,102.232838901234032,4.741694625000000,15,19,1
891,102.094274836628514,4.741694625000000,102.232838901234032,4.621694625000000,16,19,0
892,102.094274836628514,4.621694625000000,102.232838901234032,4.501694625000000,17,19,0
893,102.094274836628514,4.501694625000000,102.232838901234032,4.381694625000000,18,19,0
894,102.094274836628514,4.381694625000000,102.232838901234032,4.261694625000000,19,19,1
895,102.094274836628514,4.261694625000000,102.232838901234032,4.141694625000001,20,19,1
896,102.094274836628514,4.141694625000001,102.232838901234032,4.021694625000001,21,19,8
897,102.094274836628514,4.021694625000001,102.232838901234032,3.901694625000000,22,19,21
898,102.094274836628514,3.901694625000000,102.232838901234032,3.781694625000000,23,19,7
899,102.094274836628514,3.781694625000000,102.232838901234032,3.661694625000000,24,19,1
900,102.094274836628514,3.661694625000000,102.232838901234032,3.541694625000000,25,19,13
901,102.094274836628514,3.541694625000000,102.232838901234032,3.421694625000000,26,19,30
902,102.094274836628514,3.421694625000000,102.232838901234032,3.301694625000000,27,19,1
903,102.094274836628514,3.301694625000000,102.232838901234032,3.181694625000000,28,19,18
904,102.094274836628514,3.181694625000000,102.232838901234032,3.061694625000000,29,19,21
905,102.094274836628514,3.061694625000000,102.232838901234032,2.941694625000000,30,19,15
906,102.094274836628514,2.941694625000000,102.232838901234032,2.821694625000000,31,19,14
907,102.094274836628514,2.821694625000000,102.232838901234032,2.701694625000000,32,19,61
908,102.094274836628514,2.701694625000000,102.232838901234032,2.581694625000000,33,19,32
909,102.094274836628514,2.581694625000000,102.232838901234032,2.461694625000000,34,19,114
910,102.094274836628514,2.461694625000000,102.232838901234032,2.341694625000000,35,19,214
911,102.094274836628514,2.341694625000000,102.232838901234032,2.221694625000000,36,19,654
912,102.094274836628514,2.221694625000000,102.232838901234032,2.101694624999999,37,19,30
925,102.198197885082649,6.241694625000000,102.336761949688153,6.121694625000000,4,20,1072
926,102.198197885082649,6.121694625000000,102.336761949688153,6.001694625000000,5,20,1276
927,102.198197885082649,6.001694625000000,102.336761949688153,5.881694625000000,6,20,438
928,102.198197885082649,5.881694625000000,102.336761949688153,5.761694625000000,7,20,187
929,102.198197885082649,5.761694625000000,102.336761949688153,5.641694625000000,8,20,95
930,102.198197885082649,5.641694625000000,102.336761949688153,5.521694625000000,9,20,56
931,102.198197885082649,5.521694625000000,102.336761949688153,5.401694625000000,10,20,60
932,102.198197885082649,5.401694625000000,102.336761949688153,5.281694625000000,11,20,72
933,102.198197885082649,5.281694625000000,102.336761949688153,5.161694625000000,12,20,5
934,102.198197885082649,5.161694625000000,102.336761949688153,5.041694625000000,13,20,5
935,102.198197885082649,5.041694625000000,102.336761949688153,4.921694625000000,14,20,28
936,102.198197885082649,4.921694625000000,102.336761949688153,4.801694625000000,15,20,4
937,102.198197885082649,4.801694625000000,102.336761949688153,4.681694625000000,16,20,2
938,102.198197885082649,4.681694625000000,102.336761949688153,4.561694625000000,17,20,0
939,102.198197885082649,4.561694625000000,102.336761949688153,4.441694625000000,18,20,0
940,102.198197885082649,4.441694625000000,102.336761949688153,4.321694624999999,19,20,0
941,102.198197885082649,4.321694624999999,102.336761949688153,4.201694625000000,20,20,0
942,102.198197885082649,4.201694625000000,102.336761949688153,4.081694625000000,21,20,6
943,102.198197885082649,4.081694625000000,102.336761949688153,3.961694625000000,22,20,15
944,102.198197885082649,3.961694625000000,102.336761949688153,3.841694625000000,23,20,19
945,102.198197885082649,3.841694625000000,102.336761949688153,3.721694625000000,24,20,11
946,102.198197885082649,3.721694625000000,102.336761949688153,3.601694624999999,25,20,17
947,102.198197885082649,3.601694624999999,102.336761949688153,3.481694625000000,26,20,28
948,102.198197885082649,3.481694625000000,102.336761949688153,3.361694625000000,27,20,1
949,102.198197885082649,3.361694625000000,102.336761949688153,3.241694625000000,28,20,24
