id,left,top,right,bottom,row_index,col_index,id_2,left_2,top_2,right_2,bottom_2,row_index_2,col_index_2,Temp_19
1276,102.925659224261580,2.701694625000000,103.064223288867097,2.581694625000000,33,27,"1998",102.982776916,2.689064625,103.072246916,2.599450625,"45","32",27.9582180433432
1276,102.925659224261580,2.701694625000000,103.064223288867097,2.581694625000000,33,27,"1999",102.982776916,2.599450625,103.072246916,2.509836625,"46","32",27.9116808755783
1277,102.925659224261580,2.581694625000000,103.064223288867097,2.461694625000000,34,27,"2000",102.982776916,2.509836625,103.072246916,2.420222625,"47","32",27.8395576307347
1278,102.925659224261580,2.461694625000000,103.064223288867097,2.341694625000000,35,27,"2001",102.982776916,2.420222625,103.072246916,2.330608625,"48","32",27.7502074861309
1279,102.925659224261580,2.341694625000000,103.064223288867097,2.221694625000000,36,27,"2002",102.982776916,2.330608625,103.072246916,2.240994625,"49","32",27.6569078709493
1279,102.925659224261580,2.341694625000000,103.064223288867097,2.221694625000000,36,27,"2003",102.982776916,2.240994625,103.072246916,2.151380625,"50","32",27.568870235697
1280,102.925659224261580,2.221694625000000,103.064223288867097,2.101694624999999,37,27,"2004",102.982776916,2.151380625,103.072246916,2.061766625,"51","32",27.4887967508252
1281,102.925659224261580,2.101694624999999,103.064223288867097,1.981694624999999,38,27,"2005",102.982776916,2.061766625,103.072246916,1.972152625,"52","32",27.4196095361359
1282,102.925659224261580,1.981694624999999,103.064223288867097,1.861694625000000,39,27,"2006",102.982776916,1.972152625,103.072246916,1.882538625,"53","32",27.3709874543722
1282,102.925659224261580,1.981694624999999,103.064223288867097,1.861694625000000,39,27,"2007",102.982776916,1.882538625,103.072246916,1.792924625,"54","32",27.3831211312831
1283,102.925659224261580,1.861694625000000,103.064223288867097,1.741694625000000,40,27,"2008",102.982776916,1.792924625,103.072246916,1.703310625,"55","32",27.4463946442682
1284,102.925659224261580,1.741694625000000,103.064223288867097,1.621694625000000,41,27,,,,,,,,
1299,103.029582272715714,5.521694625000000,103.168146337321232,5.401694625000000,10,28,,,,,,,,
1300,103.029582272715714,5.401694625000000,103.168146337321232,5.281694625000000,11,28,"2029",103.072246916,5.377484625,103.161716916,5.287870625,"15","33",28.0703347841013
1300,103.029582272715714,5.401694625000000,103.168146337321232,5.281694625000000,11,28,"2030",103.072246916,5.287870625,103.161716916,5.198256625,"16","33",28.0446419675626
1301,103.029582272715714,5.281694625000000,103.168146337321232,5.161694625000000,12,28,"2031",103.072246916,5.198256625,103.161716916,5.108642625,"17","33",28.0148269080621
1302,103.029582272715714,5.161694625000000,103.168146337321232,5.041694625000000,13,28,"2032",103.072246916,5.108642625,103.161716916,5.019028625,"18","33",27.9851481480451
1302,103.029582272715714,5.161694625000000,103.168146337321232,5.041694625000000,13,28,"2093",103.161716916,5.108642625,103.251186916,5.019028625,"18","34",27.9787751700215
1303,103.029582272715714,5.041694625000000,103.168146337321232,4.921694625000000,14,28,"2033",103.072246916,5.019028625,103.161716916,4.929414625,"19","33",27.9572401474931
1303,103.029582272715714,5.041694625000000,103.168146337321232,4.921694625000000,14,28,"2034",103.072246916,4.929414625,103.161716916,4.839800625,"20","33",27.9316126226476
1304,103.029582272715714,4.921694625000000,103.168146337321232,4.801694625000000,15,28,"2035",103.072246916,4.839800625,103.161716916,4.750186625,"21","33",27.9081576357517
1305,103.029582272715714,4.801694625000000,103.168146337321232,4.681694625000000,16,28,"2036",103.072246916,4.750186625,103.161716916,4.660572625,"22","33",27.8873271658944
1305,103.029582272715714,4.801694625000000,103.168146337321232,4.681694625000000,16,28,"2097",103.161716916,4.750186625,103.251186916,4.660572625,"22","34",27.8736212912853
1306,103.029582272715714,4.681694625000000,103.168146337321232,4.561694625000000,17,28,"2037",103.072246916,4.660572625,103.161716916,4.570958625,"23","33",27.870915327266
1306,103.029582272715714,4.681694625000000,103.168146337321232,4.561694625000000,17,28,"2038",103.072246916,4.570958625,103.161716916,4.481344625,"24","33",27.8653618689766
1307,103.029582272715714,4.561694625000000,103.168146337321232,4.441694625000000,18,28,"2039",103.072246916,4.481344625,103.161716916,4.391730625,"25","33",27.8700553533068
1308,103.029582272715714,4.441694625000000,103.168146337321232,4.321694624999999,19,28,"2040",103.072246916,4.391730625,103.161716916,4.302116625,"26","33",27.8824527415776
