id,left,top,right,bottom,row_index,col_index,id_2,left_2,top_2,right_2,bottom_2,row_index_2,col_index_2,API_19
"102",100.327583012908,5.641694625,100.466147077514,5.521694625,"9","2","197",100.388146916,5.556712625,100.477616916,5.467098625,"13","3",54.9242156348043
"103",100.327583012908,5.521694625,100.466147077514,5.401694625,"10","2","198",100.388146916,5.467098625,100.477616916,5.377484625,"14","3",55.3347379581022
"104",100.327583012908,5.401694625,100.466147077514,5.281694625,"11","2","199",100.388146916,5.377484625,100.477616916,5.287870625,"15","3",55.5264519085606
"104",100.327583012908,5.401694625,100.466147077514,5.281694625,"11","2","200",100.388146916,5.287870625,100.477616916,5.198256625,"16","3",55.6864890509023
"105",100.327583012908,5.281694625,100.466147077514,5.161694625,"12","2",,,,,,,,
"106",100.327583012908,5.161694625,100.466147077514,5.041694625,"13","2","202",100.388146916,5.108642625,100.477616916,5.019028625,"18","3",55.9627477176155
"107",100.327583012908,5.041694625,100.466147077514,4.921694625,"14","2","203",100.388146916,5.019028625,100.477616916,4.929414625,"19","3",56.0601454933997
"140",100.431506061362,6.541694625,100.570070125968,6.421694625,"1","3","248",100.477616916,6.452852625,100.567086916,6.363238625,"3","4",51.8780201564061
"141",100.431506061362,6.421694625,100.570070125968,6.301694625,"2","3","249",100.477616916,6.363238625,100.567086916,6.273624625,"4","4",51.874961104249
"141",100.431506061362,6.421694625,100.570070125968,6.301694625,"2","3","310",100.567086916,6.363238625,100.656556916,6.273624625,"4","5",52.1879022677707
"142",100.431506061362,6.301694625,100.570070125968,6.181694625,"3","3","250",100.477616916,6.273624625,100.567086916,6.184010625,"5","4",51.9508538475246
"142",100.431506061362,6.301694625,100.570070125968,6.181694625,"3","3","251",100.477616916,6.184010625,100.567086916,6.094396625,"6","4",52.1357395293713
"143",100.431506061362,6.181694625,100.570070125968,6.061694625,"4","3","252",100.477616916,6.094396625,100.567086916,6.004782625,"7","4",52.4559496527974
"144",100.431506061362,6.061694625,100.570070125968,5.941694625,"5","3","253",100.477616916,6.004782625,100.567086916,5.915168625,"8","4",52.8442883207523
"144",100.431506061362,6.061694625,100.570070125968,5.941694625,"5","3","314",100.567086916,6.004782625,100.656556916,5.915168625,"8","5",52.9986265612319
"145",100.431506061362,5.941694625,100.570070125968,5.821694625,"6","3","254",100.477616916,5.915168625,100.567086916,5.825554625,"9","4",53.2612538505961
"145",100.431506061362,5.941694625,100.570070125968,5.821694625,"6","3","255",100.477616916,5.825554625,100.567086916,5.735940625,"10","4",53.6925101033397
"146",100.431506061362,5.821694625,100.570070125968,5.701694625,"7","3","256",100.477616916,5.735940625,100.567086916,5.646326625,"11","4",54.1238188490545
"147",100.431506061362,5.701694625,100.570070125968,5.581694625,"8","3","257",100.477616916,5.646326625,100.567086916,5.556712625,"12","4",54.4762418333038
"147",100.431506061362,5.701694625,100.570070125968,5.581694625,"8","3","318",100.567086916,5.646326625,100.656556916,5.556712625,"12","5",54.4251868026738
"148",100.431506061362,5.581694625,100.570070125968,5.461694625,"9","3","258",100.477616916,5.556712625,100.567086916,5.467098625,"13","4",54.7865550473344
"148",100.431506061362,5.581694625,100.570070125968,5.461694625,"9","3","259",100.477616916,5.467098625,100.567086916,5.377484625,"14","4",55.0640557996389
"149",100.431506061362,5.461694625,100.570070125968,5.341694625,"10","3","260",100.477616916,5.377484625,100.567086916,5.287870625,"15","4",55.3312002614976
"150",100.431506061362,5.341694625,100.570070125968,5.221694625,"11","3","261",100.477616916,5.287870625,100.567086916,5.198256625,"16","4",55.5833767286449
"151",100.431506061362,5.221694625,100.570070125968,5.101694625,"12","3","262",100.477616916,5.198256625,100.567086916,5.108642625,"17","4",55.7924326617584
"151",100.431506061362,5.221694625,100.570070125968,5.101694625,"12","3","263",100.477616916,5.108642625,100.567086916,5.019028625,"18","4",55.9584519582686
"152",100.431506061362,5.101694625,100.570070125968,4.981694625,"13","3","264",100.477616916,5.019028625,100.567086916,4.929414625,"19","4",56.0853718944058
"153",100.431506061362,4.981694625,100.570070125968,4.861694625,"14","3","265",100.477616916,4.929414625,100.567086916,4.839800625,"20","4",56.1971950798619
"154",100.431506061362,4.861694625,100.570070125968,4.741694625,"15","3",,,,,,,,
